Batch,Subject,PVC_Nr,Sow,Test_Nr,Novel_pig,NPT_sudden_display_freq,NPT_walking_by_fence_dur,NPT_NP_nose.nose_freq,Agonistic_out_degree,Agonistic_out_strength,Agonistic_betweenness,Agonistic_AUC.Fc,Agonistic_WDC,Mount_out_degree,Mount_out_strength,Mount_betweenness,Mount_AUC.Fc,Mount_WDC,Nose.ano_out_degree,Nose.ano_out_strength,Nose.ano_betweenness,Nose.ano_AUC.Fc,Nose.ano_WDC,Nose.body_out_degree,Nose.body_out_strength,Nose.body_betweenness,Nose.body_AUC.Fc,Nose.body_WDC,Nose.front_out_degree,Nose.front_out_strength,Nose.front_betweenness,Nose.front_AUC.Fc,Nose.front_WDC,Play_out_degree,Play_out_strength,Play_betweenness,Play_AUC.Fc,Play_WDC,Social.resting_out_degree,Social.resting_out_strength,Social.resting_betweenness,Social.resting_AUC.Fc,Social.resting_WDC,Non.agonistic_out_degree,Non.agonistic_out_strength,Non.agonistic_betweenness,Non.agonistic_AUC.Fc,Non.agonistic_WDC
1,1,7710,631,1,9453,NA,NA,NA,8,9,25.0944805194805,4.5,9,0,0,0,0,0,0,0,0,0,0,2,2,7.20833333333333,1,2,7,10,11.7761904761905,2.7,5.4,0,0,0,0,0,0,0,0,0,0,12,21,27.8407509157509,4.26190476190476,8.52380952380952
1,1,7710,631,2,9297,0,0,31,8,9,25.0944805194805,4.5,9,0,0,0,0,0,0,0,0,0,0,2,2,7.20833333333333,1,2,7,10,11.7761904761905,2.7,5.4,0,0,0,0,0,0,0,0,0,0,12,21,27.8407509157509,4.26190476190476,8.52380952380952
1,10,7966,656,1,8147,NA,NA,NA,12,30,12.8984126984127,4.96666666666667,9.93333333333333,0,0,0,0,0,1,1,2,0.5,1,7,8,23.4357142857143,4,8,7,9,19.5083333333333,2.94444444444444,5.88888888888889,1,2,1,0.5,1,1,1,0,0.5,1,15,51,9.5014652014652,4.73529411764706,9.47058823529412
1,10,7966,656,2,8528,0,0,24,12,30,12.8984126984127,4.96666666666667,9.93333333333333,0,0,0,0,0,1,1,2,0.5,1,7,8,23.4357142857143,4,8,7,9,19.5083333333333,2.94444444444444,5.88888888888889,1,2,1,0.5,1,1,1,0,0.5,1,15,51,9.5014652014652,4.73529411764706,9.47058823529412
1,11,7914,765,1,803,NA,NA,NA,11,35,2.51388888888889,3.61428571428571,7.22857142857143,4,7,33.5,1.92857142857143,3.85714285714286,1,1,0,0.5,1,6,9,25.5857142857143,2.16666666666667,4.33333333333333,7,13,8.42619047619048,2.88461538461538,5.76923076923077,0,0,0,0,0,1,1,4,0.5,1,15,66,2.50952380952381,3.75757575757576,7.51515151515152
1,11,7914,765,2,674,0,0,23,11,35,2.51388888888889,3.61428571428571,7.22857142857143,4,7,33.5,1.92857142857143,3.85714285714286,1,1,0,0.5,1,6,9,25.5857142857143,2.16666666666667,4.33333333333333,7,13,8.42619047619048,2.88461538461538,5.76923076923077,0,0,0,0,0,1,1,4,0.5,1,15,66,2.50952380952381,3.75757575757576,7.51515151515152
1,12,7834,656,1,680,NA,NA,NA,13,32,25.127886002886,5.28125,10.5625,0,0,0,0,0,0,0,0,0,0,2,2,6.72222222222222,1,2,7,11,5.45,2.95454545454545,5.90909090909091,1,1,0,0.5,1,4,4,0,2,4,17,50,19.9795787545787,5.28,10.56
1,12,7834,656,2,609,1,3.006,13,13,32,25.127886002886,5.28125,10.5625,0,0,0,0,0,0,0,0,0,0,2,2,6.72222222222222,1,2,7,11,5.45,2.95454545454545,5.90909090909091,1,1,0,0.5,1,4,4,0,2,4,17,50,19.9795787545787,5.28,10.56
1,13,7765,721,1,9453,NA,NA,NA,11,23,7.31904761904762,4.06521739130435,8.1304347826087,4,5,10.5,1.7,3.4,4,4,4,2,4,11,13,57.5460317460317,5.57692307692308,11.1538461538462,13,18,25.8797619047619,5.16666666666667,10.3333333333333,0,0,0,0,0,2,2,9,1,2,16,65,2.46978021978022,5.73076923076923,11.4615384615385
1,13,7765,721,2,9297,0,0,15,11,23,7.31904761904762,4.06521739130435,8.1304347826087,4,5,10.5,1.7,3.4,4,4,4,2,4,11,13,57.5460317460317,5.57692307692308,11.1538461538462,13,18,25.8797619047619,5.16666666666667,10.3333333333333,0,0,0,0,0,2,2,9,1,2,16,65,2.46978021978022,5.73076923076923,11.4615384615385
