Batch,Subject,PVC_Nr,Sow,Coder,Behavior,Recipient,n
1,1,7710,631,Jen,Agonistic,11,1
1,1,7710,631,Jen,Agonistic,12,1
1,1,7710,631,Jen,Agonistic,15,1
1,1,7710,631,Jen,Agonistic,3,1
1,1,7710,631,Jen,Nose body,12,1
1,1,7710,631,Jen,Nose body,7,1
1,1,7710,631,Jen,Nose front,14,1
1,1,7710,631,Jen,Nose front,15,1
1,1,7710,631,Jen,Nose front,16,1
1,1,7710,631,Jen,Nose front,3,1
1,1,7710,631,Jen,Nose front,5,1
1,1,7710,631,Jen,Nose front,6,2
1,1,7710,631,Jen,Nose front,9,3
1,1,7710,631,Sarah,Agonistic,10,1
1,1,7710,631,Sarah,Agonistic,13,1
1,1,7710,631,Sarah,Agonistic,3,1
1,1,7710,631,Sarah,Agonistic,6,1
1,1,7710,631,Sarah,Agonistic,9,1
1,2,7641,672,Jen,Agonistic,10,1
1,2,7641,672,Jen,Agonistic,11,1
1,2,7641,672,Jen,Agonistic,12,1
1,2,7641,672,Jen,Agonistic,13,2
1,2,7641,672,Jen,Agonistic,14,1
1,2,7641,672,Jen,Agonistic,15,1
1,2,7641,672,Jen,Agonistic,17,1
1,2,7641,672,Jen,Agonistic,8,2
1,2,7641,672,Jen,Nose ano,16,1
1,2,7641,672,Jen,Nose body,15,1
1,2,7641,672,Jen,Nose body,4,1
1,2,7641,672,Jen,Nose body,7,1
1,2,7641,672,Jen,Nose body,8,2
1,2,7641,672,Jen,Nose body,9,1
1,2,7641,672,Jen,Nose front,11,2
1,2,7641,672,Jen,Nose front,13,1
1,2,7641,672,Jen,Nose front,15,1
1,2,7641,672,Jen,Nose front,18,1
1,2,7641,672,Jen,Nose front,4,2
1,2,7641,672,Jen,Nose front,5,1
1,2,7641,672,Jen,Nose front,6,5
1,2,7641,672,Jen,Nose front,7,1
1,2,7641,672,Jen,Nose front,8,3
1,2,7641,672,Sarah,Agonistic,12,1
1,2,7641,672,Sarah,Agonistic,15,1
1,2,7641,672,Sarah,Agonistic,17,1
1,2,7641,672,Sarah,Agonistic,18,8
1,2,7641,672,Sarah,Agonistic,5,1
1,2,7641,672,Sarah,Agonistic,6,1
1,2,7641,672,Sarah,Agonistic,9,2
1,2,7641,672,Sarah,Social resting,3,1
1,2,7641,672,Sarah,Social resting,6,1
