Subject,Batch,PVC_Nr,Sow,Test_Nr,Novel_pig,OFT_expl_floor_wall_dur,OFT_voc_freq,NOT_expl_obj_dur,HAT_exploration_human_dur,NPT_sudden_display_freq,NPT_walking_by_fence_dur,NPT_NP_nose-nose_freq
1,1,7710,631,1,9453,15.238,117,4.346,0,NA,NA,NA
1,1,7710,631,2,9297,25.793,46,62.549,6.755,0,0,31
2,1,7641,672,1,8147,26.185,155,27.893,12.947,NA,NA,NA
2,1,7641,672,2,8528,87.094,23,71.645,22.195,0,0,19
3,1,7832,693,1,803,72.341,138,33.348,32.394,NA,NA,NA
3,1,7832,693,2,674,120.939,8,53.189,6.997,3,5.504,17
4,1,7835,670,1,680,29.793,340,30.539,40.543,NA,NA,NA
4,1,7835,670,2,609,73.738,109,80.344,17.751,2,0,17
5,1,7961,718,1,9453,112.589,106,18.393,16.143,NA,NA,NA
5,1,7961,718,2,9297,115.884,21,74.092,31.799,3,9.742,32
6,1,7907,721,1,8147,97.594,127,4.697,0,NA,NA,NA
6,1,7907,721,2,8528,81.154,89,22.59,7.695,0,0,7
7,1,7865,685,1,803,9.252,212,21.198,9.108,NA,NA,NA
7,1,7865,685,2,674,11.298,92,0,7.502,0,0,18
8,1,7986,685,1,680,2.247,197,14.497,9.244,NA,NA,NA
8,1,7986,685,2,609,35.178,38,108.295,21.92,1,7.491,12
9,1,7831,766,1,9453,19.735,223,60.489,36.305,NA,NA,NA
9,1,7831,766,2,9297,60.196,65,58.658,NA,0,16.747,22
10,1,7966,656,1,8147,34.848,196,90.586,26.049,NA,NA,NA
10,1,7966,656,2,8528,81.035,30,101.242,33.744,0,0,24
11,1,7914,765,1,803,14.743,177,3.143,0.852,NA,NA,NA
11,1,7914,765,2,674,11.594,21,21.846,0,0,0,23
12,1,7834,656,1,680,69.98,19,141.473,111.888,NA,NA,NA
12,1,7834,656,2,609,131.895,0,132.153,86.14,1,3.006,13
13,1,7765,721,1,9453,62.736,108,20.464,3.887,NA,NA,NA
13,1,7765,721,2,9297,95.98,35,125.168,33.249,0,0,15
14,1,7712,713,1,8147,55.183,200,61.638,17.794,NA,NA,NA
14,1,7712,713,2,674,54.998,109,110.188,20.194,0,11.751,20
15,1,7804,693,1,803,10.853,73,7.554,57.149,NA,NA,NA
15,1,7804,693,2,8528,24.65,37,72.637,46.438,1,5.754,17
16,1,7962,673,1,680,24.238,231,12.365,1.349,NA,NA,NA
16,1,7962,673,2,609,45.329,21,14.597,51.344,0,0,2
17,1,7924,765,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,7829,766,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,4,691,1,8927,16.712,251,107.843,10.247,0,67.59,15
1,2,4,691,2,8793,38.732,37,72.8,47.593,0,95.239,29
2,2,14,747,1,8759,27.755,97,7.497,0,0,6.047,16
2,2,14,747,2,8790,38.936,45,60.192,53.405,2,4,26
3,2,18,680,1,8928,48.579,207,18.448,0,0,17.252,28
3,2,18,680,2,8929,65.987,64,13.842,20.202,0,0,31
4,2,7,728,1,8779,17.344,47,26.392,7.647,0,3.5,22
4,2,7,728,2,8825,58.88,58,50.795,3.45,NA,NA,NA
5,2,10,751,1,8927,18.79,113,34.589,6.049,0,26.1,15
5,2,10,751,2,8793,29.994,41,60.291,60.403,NA,NA,NA
6,2,5,691,1,8759,19.841,197,18.951,0.998,0,26.491,7
6,2,5,691,2,8790,79.447,56,153.813,77.335,0,5,13
7,2,11,592,1,8928,24.149,283,11.75,0,0,3.498,15
7,2,11,592,2,8929,2.499,64,15.647,23.499,0,0,27
8,2,12,592,1,8779,54.94,41,98.494,24.149,0,0,8
8,2,12,592,2,8825,73.449,8,175.255,72.145,0,0,14
